date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:25:53	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://webconcepts.info/robots.txt		(from )
17:25:53	8306/8306	---M-Z	200	added ('OK')	text/html	etag:W/%22671ff1fd-2072%22	https://webconcepts.info/	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/index.html	(from )
17:25:53	1126/1126	---M--	200	added ('OK')	image/png	etag:%22671ff1fd-466%22	https://webconcepts.info/favicon-32x32.png	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/favicon-32x32.png	(from https://webconcepts.info/)
17:25:54	572/572	---M--	200	added ('OK')	image/png	etag:%22671ff1fd-23c%22	https://webconcepts.info/favicon-16x16.png	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/favicon-16x16.png	(from https://webconcepts.info/)
17:25:54	6188/6188	---M-Z	200	added ('OK')	text/css	etag:W/%22671ff1fd-182c%22	https://webconcepts.info/css/main.css	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/css/main.css	(from https://webconcepts.info/)
17:25:54	9267/9267	---M--	200	added ('OK')	image/png	etag:%22671ff1fd-2433%22	https://webconcepts.info/forkme.png	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/forkme.png	(from https://webconcepts.info/)
17:25:54	7168/7168	---M-Z	200	added ('OK')	text/html	etag:W/%22671ff1fd-1c00%22	https://webconcepts.info/JSON	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/JSON.html	(from https://webconcepts.info/)
17:25:55	7685/7685	---M-Z	200	added ('OK')	text/html	etag:W/%22671ff1fd-1e05%22	https://webconcepts.info/forking	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/forking.html	(from https://webconcepts.info/)
17:25:55	9999/9999	---M-Z	200	added ('OK')	text/html	etag:W/%22671ff1fd-270f%22	https://webconcepts.info/history	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/history.html	(from https://webconcepts.info/)
17:25:55	8070/8070	---M-Z	200	added ('OK')	text/html	etag:W/%22671ff1fd-1f86%22	https://webconcepts.info/concepts/	C:/Users/Administrator/Documents/departments/Websites/WebConcepts/webconcepts.info/concepts/index.html	(from https://webconcepts.info/)
